Cell-Cell contact name,Contact mean value,Normality test P-value,Contact Time Point,Relative Contact Area
MSpapp->MSpapap,4504.98232732,0.632980543708,6.14285714286,0.236824831711
Eala->Eara,1863.53589599,0.799881509351,37.3626373626,0.105441475743
ABalpaap->ABplaaaa,2683.73023658,0.408607205403,16.1208791209,0.106194948046
ABprapa->ABarppp,8638.91935141,0.726204654952,17.4285714286,0.196475772219
ABalpapapa->ABalpapaap,1812.62825399,0.0106300343904,14.2857142857,0.14629936264
Cppa->Cpppp,4535.39787537,0.849679808284,6.12087912088,0.235654989893
ABalaaapp->ABalaapaa,1982.97425191,0.1335744496,25.4065934066,0.121176730505
ABprpaap->ABprappa,2336.27498622,0.28184147972,8.6043956044,0.110603764874
ABprppapap->ABprppappa,2354.38381597,0.421452135774,9.7032967033,0.194609694345
ABprappapa->ABprappaap,1730.14665321,0.229131478082,11.5604395604,0.141762878831
ABpraapa->ABprpaaa,3248.10905125,0.586381063044,21.7472527473,0.119392788231
ABprpappp->MSpappp,1476.83369339,0.187053668755,14.2857142857,0.103379297646
ABalapa->ABplaaa,7266.97121649,0.466744860555,18.7142857143,0.165617111431
ABalpaa->ABplaaa,4939.30953011,0.0867763100691,17.3846153846,0.114730026013
ABplppapa->ABplpaappp,2110.43091764,0.00150130460913,5.52747252747,0.143309248124
Dpp->ABprppppp,1837.03870196,0.982079063495,8.81318681319,0.139084426319
ABplapapap->ABplappapp,1892.10752713,0.792827190111,14.3736263736,0.152056130374
ABplpapppp->ABprpapppp,1610.15205836,0.129075839408,14.2087912088,0.132782468087
ABplpppaa->ABplppaap,1453.33881845,0.865178027638,18.3406593407,0.104836421958
ABalaaaal->ABalpaapaa,2377.1619989,0.00362984136107,12.3956043956,0.158294244628
ABarpaa->ABarppa,4938.92274147,0.408093642655,16.8351648352,0.113450841811
Capaa->Daap,1919.08577512,0.563409043931,21.2747252747,0.14047565107
ABarppp->Caaa,5255.70711719,0.000275845895543,4.6043956044,0.137025776917
Cap->Cpp,6045.45955509,0.432144572081,21.5384615385,0.128736264634
ABarppapp->Caaaap,2845.28843954,0.18910721218,11.8351648352,0.209628451002
MSpppap->ABprpapaap,1380.36564084,0.131358895467,12.7582417582,0.114480280805
MSap->MSpa,7119.68205357,0.119039899127,16.1868131868,0.124595593657
ABprppppa->ABprpppap,1168.05734601,0.00500314958822,17.1978021978,0.0837826643772
ABprppppa->ABprpppaa,2455.29623176,0.976102055638,30.8461538462,0.137657161285
Cpaa->ABprapap,4416.46905446,0.0792985506456,19.5384615385,0.149404411023
ABalaa->ABalpa,10082.9257315,0.686139641767,16.7472527473,0.146351923775
ABalaa->ABaraa,9567.79519938,0.525411849746,16.8681318681,0.139498406312
ABpraaapap->ABpraapaap,1267.02737886,0.308722293112,11.7582417582,0.107951421093
ABalpappap->ABalpapppp,1278.94291883,0.12174728109,18.032967033,0.0994760489309
ABalpapa->ABalpaap,2930.83105373,0.923355820304,20.6373626374,0.106070105974
